Metric,Group,Condition,Mean,Median,Std Dev,IQR,Min,Max
rouge_L,SSP,Base,0.17555977736440342,0.17483910139647846,0.015978331450459963,0.01889393650616958,0.14113873295910181,0.22102009273570325
rouge_L,CEP,Novel,0.17864562960192568,0.1781706627061777,0.02145781334862358,0.027141396497845055,0.13636363636363638,0.22600408441116404
rouge_L,CEP,Base,0.1782607037555836,0.17498868356587496,0.017031230768159357,0.021882981886359704,0.14612676056338028,0.22100205902539463
rouge_L,CT,Novel,0.17446476325448007,0.17350890354429235,0.015106533966208703,0.020330950288574567,0.14883148831488316,0.21926389976507438
rouge_L,CT,Base,0.17046570696385044,0.16908232722473143,0.014315701374058732,0.018059161556615605,0.14231642694928082,0.21739130434782608
rouge_L,EXP,Novel,0.17236874714239295,0.1672379613652231,0.019478798789382648,0.019728228953547783,0.13810741687979539,0.24369747899159663
rouge_L,EXP,Base,0.18299795037598518,0.17994306936197657,0.016793259552781954,0.023236928784107852,0.14664310954063603,0.23188405797101447
rouge_L,POP,Novel,0.169900180849771,0.17069207670022152,0.01871839796143203,0.019744757088261566,0.125,0.21805054151624548
rouge_L,POP,Base,0.17435392576093545,0.17128958450447251,0.022548182611724903,0.030963478871329775,0.12769485903814262,0.22525597269624575
rouge_L,PSP,Novel,0.19176011593595532,0.18976652961484825,0.02470876226521685,0.03428257162252554,0.14710485133020346,0.26195732155997054
rouge_L,PSP,Base,0.19734406451595946,0.19763456519175254,0.024317648460667602,0.033877166791602686,0.15445232466509065,0.26094137076796037
context_similarity,SSP,Novel,0.9352432030439377,0.9366603493690491,0.012205303988187359,0.018104955554008484,0.9043099880218506,0.9554660320281982
