Prompt ID,Metric,p-value,Test Used,Corrected p-value,Significant
EXP8,bleu_score,0.001338528359883201,t-test,0.014347491709218809,True
EXP9,bleu_score,0.05332528139900968,t-test,0.139109429736547,False
EXP10,bleu_score,0.0908984454661387,t-test,0.1817968909322774,False
POP1,bleu_score,0.0323504319863314,t-test,0.0970512959589942,False
POP2,bleu_score,0.322265625,Wilcoxon,0.4114029255319149,False
POP3,bleu_score,0.17599191103689937,t-test,0.3017004189203989,False
POP4,bleu_score,0.01444146130925827,t-test,0.05776584523703308,False
POP5,bleu_score,0.0004822476243736282,t-test,0.009644952487472564,True
POP6,bleu_score,0.001434749170921881,t-test,0.014347491709218809,True
POP7,bleu_score,0.06730096597551219,t-test,0.16740854782241388,False
POP8,bleu_score,0.24066851555996513,t-test,0.3521978276487294,False
POP9,bleu_score,0.07140770578863975,t-test,0.16740854782241388,False
POP10,bleu_score,0.2349172486495772,t-test,0.3521978276487294,False
PSP1,bleu_score,0.04965445028527023,t-test,0.135421228050737,False
PSP2,bleu_score,0.012320996754182663,t-test,0.055881900408525205,False
PSP3,bleu_score,0.006306312514038977,t-test,0.03783787508423386,True
PSP4,bleu_score,0.027921271058176187,t-test,0.08817243492055639,False
PSP5,bleu_score,0.08107196652922867,t-test,0.18015992562050814,False
PSP6,bleu_score,0.4549322854886454,t-test,0.5249218678715138,False
PSP7,bleu_score,0.22044281138089247,t-test,0.3480675969171987,False
PSP8,bleu_score,0.193359375,Wilcoxon,0.322265625,False
PSP9,bleu_score,0.35055367256531644,t-test,0.4292493949779385,False
PSP10,bleu_score,0.00023151232304956766,t-test,0.009644952487472564,True
SSP1,rouge_1,0.10430896798682622,t-test,0.2607724199670655,False
SSP2,rouge_1,0.03685021632167871,t-test,0.13818831120629516,False
SSP3,rouge_1,0.7368038498002218,t-test,0.7999884596526743,False
SSP4,rouge_1,0.000890541006523467,t-test,0.017810820130469338,True
SSP5,rouge_1,0.004264772804555029,t-test,0.0439453125,True
SSP6,rouge_1,0.193359375,Wilcoxon,0.322265625,False
SSP7,rouge_1,0.44873935332575643,t-test,0.5853121999901171,False
SSP8,rouge_1,0.010873091707232309,t-test,0.05846642096633542,False
SSP9,rouge_1,0.38277201944589434,t-test,0.5219618446989469,False
SSP10,rouge_1,0.15383126702362382,t-test,0.27969321277022513,False
